doi,year,title,source_id,source_title,retracted,area,category,intext_citation.section,intext_citation.pointer,intext_citation.intent,intext_citation.sentiment,intext_citation.section.ret_mention
10.1111/j.1748-720x.2005.tb00511.x,2005,"Is There a Medical Malpractice Crisis in the UK?



",issn:1073-1105; issn:1748-720X,"The Journal Of Law, Medicine & Ethics",no,"Medicine;;
Nursing;;","Health Policy;
Medicine (miscellaneous);;
Issues, Ethics and Legal Aspects;;",middle section;“So is there a Medical Malpractice Crisis?“;;,72,credits;;,negative;;,no;;
10.1097/00008480-200208000-00024,2002,"Neonatal jaundice, animal-induced injuries, and immunizations",issn:1040-8703,Current Opinion In Pediatrics,no,Medicine;;,"Pediatrics, Perinatology and Child Health;;",middle section;“Immunizations”;;,67,disputes;;,neutral;;,no;;
10.4161/hv.20122,2012,The effect of social determinants on immunization programs,issn:2164-5515; issn:2164-554X,Human Vaccines & Immunotherapeutics,no,"Immunology and Microbiology;;
Medicine;;
Pharmacology, Toxicology and Pharmaceutics;;","Immunology;;
Immunology and Allergy;
Medicine (miscellaneous);;
Pharmacology;;",“High- and Middle-Income Countries”;Middle Section;;,63,disputes;;,negative;;,no;;
10.3109/9780203007648-21,2005,Immunological issues in patients with autism spectrum disorders,isbn:9781841845203; isbn:9780203007648,Neuropsychiatric Disorders And Infection,no,Medicine,Internal medicine,"middle section;“NEUROPSYCHIATRIC DISORDERS AND INFECTION”;;
middle section;“NEUROPSYCHIATRIC DISORDERS AND INFECTION”;;",63,"disputes;;
Cites for information;;","neutral;;
neutral;;",no;;
10.4161/hv.19003,2012,The effect of social determinants on immunization programs,issn:2164-5515; issn:2164-554X,Human Vaccines & Immunotherapeutics,no,"Immunology and Microbiology;;
Medicine;;
Pharmacology, Toxicology and Pharmaceutics;;","Immunology;;
Immunology and Allergy;
Medicine (miscellaneous);;
Pharmacology;;",“High- and Middle-Income Countries”;Middle Section;;,63,disputes;;,negative;;,no;;
10.3892/etm.2015.2890,2015,Current views and advances on Paediatric Virology: An update for paediatric trainees (Review),issn:1792-0981; issn:1792-1015,Experimental And Therapeutic Medicine,no,"Biochemistry, Genetics and Molecular Biology;;
Immunology and Microbiology;;
Medicine;;","Cancer Research;;
Immunology and Microbiology (miscellaneous);;
Medicine (miscellaneous);;","“Update on current views and advances on Paediatric Virology”;Middle Section;;
“Update on current views and advances on Paediatric Virology”;Middle Section;;",62,"cites for information;;
credits;;","neutral;;
negative;;",no;;
10.1097/hcm.0000000000000159,2017,"Conflicting Online Health 
Information and Rational 
Decision Making Implication for Cancer Survivors ",issn:1525-5794,The Health Care Manager,no,"Medicine;;
Nursing;;
Social Sciences;;","Health Policy;
Medicine (miscellaneous);;
Care Planning;
Leadership and Management;;
Health (social science);;",“A suggestion for rational decision making”;Middle Section;;,62,qualifies;;,negative;;,yes;;
10.1007/s40619-014-0080-3,2014,Autoimmune diseases and vaccinations,issn:1590-170X; issn:1720-8351,L'Endocrinologo,no,,,“Vaccines and particular pathologies”;Middle Section;;,62,discusses;;,neutral;;,no;;
10.4137/jcnsd.s9058,2012,Triggers for Autism: Genetic and Environmental Factors,issn:1179-5735; issn:1179-5735,Journal Of Central Nervous System Disease,no,,,“Study of Environmental Factors in Autism”;Middle Section;;,62,discusses;;,negative;;,no;;
10.1177/003335490712200215,2007,"ImmunIty for tHe PeoPle: The CHallenge of aCHIevIng HIgH vaCCIne Coverage in amerICan HIstory



",issn:0033-3549; issn:1468-2877,Public Health Reports,no,Medicine;;,"Public Health, Environmental and Occupational Health;;","middle section;“ImmunIzatIon In tHe ContemPorary era: new ProduCts, old CHallenges ”;;",59,disputes;;,neutral;;,no;;
10.1016/s0033-3549(04)50270-4,2003,Autism: An Emerging Public Health Problem,issn:0033-3549; issn:1468-2877,Public Health Reports,no,Medicine;;,"Public Health, Environmental and Occupational Health;;",middle section;“WHAT IS THE PUBLIC HEALTH BURDEN OF AUTISM? ”;;,58,credits;;,neutral;;,no;;
10.1186/s12967-016-0773-4,2016,"Translational research—the need of a new bioethics approach
",issn:1479-5876,Journal Of Translational Medicine,no,"Biochemistry, Genetics and Molecular Biology;;
Medicine;;","Biochemistry, Genetics and Molecular Biology (miscellaneous);;
Medicine (miscellaneous);;",“Some proposals for general ethical principles guiding translational research”;Middle Section;;,57,cites as evidence;;,negative;;,no;;
10.2217/ijr.15.18,2015,"Mitigating infection risk with immunotherapy for rheumatoid arthritis 
",issn:1758-4272; issn:1758-4280,International Journal Of Clinical Rheumatology,no,Medicine;;,Rheumatology;;,middle section; “Vaccinations in RA ”;;,54,cites for information;;,negative;;,yes;;
10.1038/nrn2073,2007,"Interacting and paradoxical forces in neuroscience and society
",issn:1471-003X; issn:1471-0048,Nature Reviews Neuroscience,no,Neuroscience,Neuroscience (miscellaneous);;,none,53,credits;;,neutral;;,no;;
10.1111/hex.12030,2012,Critical appraisal training increases understanding and confidence and enhances the use of evidence in diverse categories of learners,issn:1369-6513; issn:1369-7625,Health Expectations,no,Medicine;;,"Public Health, Environmental and Occupational Health;;","Introduction;;
Results;;
",53,"cites for information;;
discusses;;","neutral;;
neutral;;",yes;;
10.3109/9780203007648-22,2005,"The gut—brain axis in childhood developmental
disorders: Viruses and vaccines",isbn:9781841845203; isbn:9780203007648,Neuropsychiatric Disorders And Infection,no,Medicine,Internal medicine,middle section; “ETIOLOGY”;;,51,cites for information;;,neutral;;,no;;
10.1177/070674370304800803,2003,Diagnosis and Epidemiology of Autism Spectrum Disorders,issn:0706-7437; issn:1497-0015,The Canadian Journal Of Psychiatry,no,Medicine;;,Psychiatry and Mental Health;;,middle section;“Clinical Correlates of Autism ”;;,51,disputes;;,neutral;;,no;;
10.3109/9780203911723-10,2003,Autism and Environmental Toxins ,isbn:9780824707156; isbn:9780824755164,Autism Spectrum Disorders,no,"Medicine;;
Nursing;;","Pediatrics, Perinatology and Child Health;;
Pediatrics;;",middle section;“Other Environmental Insults”;;,50,credits;;,neutral;;,no;;
10.1111/j.1365-2044.2005.04151.x,2005,All that glisters…How to assess the ‘value’ of a scientific paper,issn:0003-2409; issn:1365-2044,Anaesthesia,no,Medicine;;,Anesthesiology and Pain Medicine;;,middle section;“The question addressed and the answers provided”;;,49,cites as evidence;;,neutral;;,yes;;
10.2105/ajph.2007.113159,2008,"Mercury, Vaccines, and Autism
One Controversy, Three Histories
",issn:0090-0036; issn:1541-0048,American Journal Of Public Health,no,Medicine;;,"Public Health, Environmental and Occupational Health;;",middle section;“Autism and its histories ”;;,47,disputes;;,neutral;;,no;;
10.1089/vim.2005.18.307,2005,"Public Fear of Vaccination: Separating Fact From Fiction

",issn:0882-8245; issn:1557-8976,Viral Immunology,no,"Biochemistry, Genetics and Molecular Biology;;
Immunology and Microbiology;;","Molecular Medicine;;
Immunology;
Virology;;","introduction;;
introduction;;
introduction;;
introduction;;
introduction;;",47,"Cites for information;;
qualifies;;
credits;;
disputes;;
discusses;;
","neutral;;
neutral;;
neutral;;
negative;;
neutral;;",no;;
10.3109/9780203007648-20,2005,"Antibodies against CNS antigens in autism:
Possible cross-reaction with dietary proteins
and infectious agent antigens",isbn:9781841845203; isbn:9780203007648,Neuropsychiatric Disorders And Infection,no,Medicine,Internal medicine,middle section; “ANTIBODIES IN AUTISM”;;,47,disputes;;,neutral;;,no;;
10.1586/14760584.2015.1037289,2015,"The impact of epidemics of vaccine-preventable disease on vaccine uptake: lessons from the 2011–2012 US 
pertussis epidemic",issn:1476-0584; issn:1744-8395,Expert Review Of Vaccines,no,"Biochemistry, Genetics and Molecular Biology;;
Immunology and Microbiology;;
Pharmacology, Toxicology and Pharmaceutics;;","Molecular Medicine;;
Immunology;;
Drug Discovery;
Pharmacology;;","“The challenges facing public health responses to epidemics”;Middle Section;;
“The challenges facing public health responses to epidemics”;Middle Section;;",46,"discusses;;
discusses;;","neutral;;
negative;;",yes;;
10.1038/nm1220,2005,"Vaccines in the public eye
",issn:1078-8956; issn:1546-170X,Nature Medicine,no,"Biochemistry, Genetics and Molecular Biology;;
Medicine;;","Biochemistry, Genetics and Molecular Biology (miscellaneous);;
Medicine (miscellaneous);;",middle section;“Responding to vaccine rejection”;;,45,qualifies;;,negative;;,yes;;
10.2105/ajph.2011.300198,2011,Balancing Vaccine Science and National Policy Objectives: Lessons From the National Vaccine Injury Compensation Program Omnibus Autism Proceedings ,issn:0090-0036; issn:1541-0048,American Journal Of Public Health,no,Medicine;;,"Public Health, Environmental and Occupational Health;;",“CONCERNS THAT RULINGS SUPPORT UNGROUNDED THEORIES ”;Middle Section;;,44,credits;;,neutral;;,yes;;
10.1097/00008480-200112000-00020,2001,"Office laboratory procedures, office economics, parenting and parent education, and urinary tract infection",issn:1040-8703,Current Opinion In Pediatrics,no,Medicine;;,"Pediatrics, Perinatology and Child Health;;",middle section;“Parenting and patient education”;;,44,qualifies;;,neutral;;,no;;
10.1517/14728222.6.2.175,2002,"Biochemical aspects in autism spectrum disorders: updating the opioid-excess theory and presenting new opportunities for biomedical intervention 
",issn:1472-8222; issn:1744-7631,Expert Opinion On Therapeutic Targets,no,"Biochemistry, Genetics and Molecular Biology;;
Pharmacology, Toxicology and Pharmaceutics;;","Clinical Biochemistry;
Molecular Medicine;;
Drug Discovery;
Pharmacology;;",middle section;“Opioid-excess theory of autism ”;;,43,qualifies;;,neutral;;,no;;
10.2478/v10011-011-0004-8,2011,SCIENCE AT THE CROSSROADS: FACT OR FICTION? ,issn:1452-8266; issn:1452-8258,Journal Of Medical Biochemistry,no,"Biochemistry, Genetics and Molecular Biology;;
Medicine;;","Clinical Biochemistry;;
Biochemistry (medical);;","“Consequences of These Pressures”;Middle Section;;

“Consequences of These Pressures”;Middle Section",42,"discusses;;
discusses;;","negative;;
negative;;",yes;;
10.1097/acm.0000000000001897,2017,Beyond Citation Rates: A Real-Time Impact Analysis of Health Professions Education Research Using Altmetrics,issn:1040-2446,Academic Medicine,no,"Medicine;;
Social Sciences;;","Medicine (miscellaneous);;
Education;;",discussion;;,41,cites as evidence;;,negative;;,yes;;
10.2196/jmir.4153,2015,Vaccination Persuasion Online: A Qualitative Study of Two Provaccine and Two Vaccine-Skeptical Websites,issn:1438-8871,Journal Of Medical Internet Research,no,Medicine;;,Health informatics;;,"Introduction;;
",41,discusses;;,negative;;,no;;
10.1007/s00228-015-1897-9,2015,The evolution in registration of clinical trials: a chronicle of the historical calls and current initiatives promoting transparency,issn:0031-6970; issn:1432-1041,European Journal Of Clinical Pharmacology,no,"Medicine;;
Pharmacology, Toxicology and Pharmaceutics;;","Medicine (miscellaneous);
Pharmacology (medical);;
Pharmacology;;",None;;,41,cites as evidence;;,negative;;,no;;
10.1177/001857870003501217,2000,"Side Effects of Vaccination: 
A Consumer’s Guide to Cause and Effect ",issn:0018-5787; issn:1945-1253,Hospital Pharmacy,no,"Health Professions;;
Medicine;;
Pharmacology, Toxicology and Pharmaceutics;;","Pharmacy;;
Pharmacology (medical);;
Pharmacology;;","middle section;“USING THE STEPS”;;
middle section;“USING THE STEPS”;;",41,"credits;;
disputes;;","neutral;;
neutral;;",no;;
10.1007/s12529-013-9357-3,2013,"Young Women's Constructions of the HPV Vaccine: A Cross-Cultural, Qualitative Study in Scotland, Spain, Serbia and Bulgaria",issn:1070-5503; issn:1532-7558,International Journal Of Behavioral Medicine,no,Psychology,Applied Psychology,discussion;;,40,obtains background from;;,neutral;;,no;;
10.1007/978-3-319-43268-7_26,2016,"Motility Problems in Developmental Disorders: Cerebral Palsy, Down Syndrome, Williams Syndrome, Autism, Turner’s Syndrome, Noonan’s Syndrome, Rett Syndrome, and Prader-Willi Syndrome 
",isbn:9783319432663; isbn:9783319432687,Pediatric Neurogastroenterology,no,"Medicine;;
Nursing;;","Pediatrics, Perinatology and Child Health;;
Pediatrics;;",“Autism”;Middle Section;;,40,discusses;;,negative;;,yes;;
10.1111/j.2042-7166.2011.01092.x,2011,Complementary and alternative medicine's opposition to measles immunisation continues,issn:1465-3753,Focus On Alternative And Complementary Therapies,no,Medicine,Complementary and Alternative Medicine;;,discussion;;,39,credits;;,negative;;,no;;
10.1111/j.1572-0241.2001.03943.x,2001,The Comorbid Occurrence of Other Diagnoses in Patients With Ulcerative Colitis and Crohn’s Disease ,issn:0002-9270; issn:1572-0241,American Journal Of Gastroenterology,no,Medicine,"Gastroenterology;
Hepatology;;",discussion;;,38,describes;;,neutral;;,no;;
10.1111/hex.12438,2015,Conflicting health information: a critical research need,issn:1369-6513; issn:1369-7625,Health Expectations,no,Medicine;;,"Public Health, Environmental and Occupational Health;;","“Conflicting health information: a provisional conceptual typology”;Middle section;;
“Conflicting health information: a provisional conceptual typology”;Middle section;;",38,"Obtains background from;;
discusses;;","neutral;;
negative;;",yes;;
10.1177/0884533608326061,2008,"The Gluten‐Free, Casein‐Free Diet in Autism: An Overview With Clinical Implications

",issn:0884-5336; issn:1941-2452,Nutrition In Clinical Practice,no,"Medicine;;
Nursing;;","Medicine (miscellaneous);;
Nutrition and Dietetics;;",middle section;“The GFCF Diet”;;,38,discusses;;,neutral;;,no;;
10.1111/1753-6405.12607,2016,"What do health consumers want to know about childhood vaccination? An evaluation of data from an Australian medicines call centre
",issn:1326-0200,Australian And New Zealand Journal Of Public Health,no,Medicine;;,"Public Health, Environmental and Occupational Health;;",discussion;;,37,credits;;,negative;;,no;;
10.1177/0009922817727465,2017,Pediatric Resident Education and Preparedness Regarding Vaccine-Preventable Diseases ,issn:0009-9228; issn:1938-2707,Clinical Pediatrics,no,Medicine;;,"Pediatrics, Perinatology and Child Health;;",discussion;;,34,discusses;;,negative;;,yes;;
10.1177/0883073812465014,2012,“3 . . 2 . . 1 . . Impact [Factor]: Target [Academic Career] Destroyed!”: Just Another Statistical Casualty,issn:0883-0738; issn:1708-8283,Journal Of Child Neurology,no,Medicine,"Neurology (clinical);
Pediatrics, Perinatology and Child Health;;","None;;
None;;
None;;
None;;
None;;
None;;",34,"describes;;
describes;;
discusses;;
discusses;;
discusses;;
critiques;;","neutral;;
neutral;;
neutral;;
neutral;;
neutral;;
negative;;",yes;;
10.1002/9780470976739.ch26,2011,The epidemiology of autism,isbn:9780470976739; isbn:9780470694671,Textbook Of Psychiatric Epidemiology,no,Medicine,Internal medicine,“Natural history”;Middle Section;;,34,disputes;;,neutral;;,no;;
10.1097/00019052-199904000-00005,1999,Autism and the pervasive developmental disorders,issn:1350-7540,Current Opinion In Neurology,no,"Medicine;;
Neuroscience;;","Neurology (clinical);;
Neurology;;",middle section;“Genetic findings”;;,34,credits;;,neutral;;,no;;
10.1073/pnas.1212247109,2012,Misconduct accounts for the majority of retracted scientific publications,issn:0027-8424; issn:1091-6490,Proceedings Of The National Academy Of Sciences,no,Multidisciplinary;;,Multidisciplinary;;,discussion;;,34,obtains background from;;,neutral;;,yes;;
10.1517/17460441.2014.867324,2013,"Synergizing vaccinations with therapeutics for measles eradication 
",issn:1746-0441; issn:1746-045X,Expert Opinion On Drug Discovery,no,"Pharmacology, Toxicology and Pharmaceutics",Drug Discovery,“Potential for measles eradication”;Middle Section;;,34,discusses;;,negative;;,yes;;
10.1097/inf.0000000000001321,2016,Is It Time for Vaccination to “Go Viral”?,issn:0891-3668,The Pediatric Infectious Disease Journal,no,Medicine,"Infectious Diseases;
Medicine (miscellaneous);
Pediatrics, Perinatology and Child Health;;",“HOW CAN TRUST BE ENHANCED? ”;Middle Section;;,33,discusses;;,neutral;;,no;;
10.1201/b14018-28,2001,"Inflammatory Bowel Disease 
",isbn:9780824705107; isbn:9781420002515,Pediatric Gastroenterology And Nutrition In Clinical Practice,no,"Medicine;;
Nursing;;","Pediatrics, Perinatology and Child Health;;
Pediatrics;;",middle section;“2.6 Infectious Agents ”;;,32,describes;;,neutral;;,no;;
10.1136/medhum-2015-010761,2015,Storytelling in the context of vaccine refusal: a strategy to improve communication and immunisation,issn:1468-215X; issn:1473-4265,Medical Humanities,no,"Arts and Humanities;;
Medicine;;","Philosophy;;
Pathology and Forensic Medicine;;",None;;,31,discusses;;,neutral;;,no;;
10.3928/00904481-20110217-07,2013,Childhood Immunization Policies and the Prevention of Communicable Disease,issn:0090-4481,Pediatric Annals,no,Medicine;;,"Pediatrics, Perinatology and Child Health;;",“Vaccine Hesitancy”;Middle Section;;,31,disputes;;,negative;;,no;;
10.1186/1472-6955-12-17,2013,The challenges of communicating research evidence in practice: perspectives from UK health visitors and practice nurses,issn:1472-6955,Bmc Nursing,no,Nursing,Nursing (miscellaneous);;,Method;;,31,cites for information;;,negative;;,yes;;
10.1007/s10309-012-0296-9,2013,Improving vaccination status in epileptic patients,issn:1617-6782; issn:1610-0646,Zeitschrift Für Epileptologie,no,Medicine;;,"Neurology (clinical);
Pediatrics, Perinatology and Child Health;;",discussion;;,30,qualifies;;,neutral;;,no;;
10.2217/cer-2016-0035,2017,"HIV, breast cancer and vaccines: what do high-profile cases reveal about stakeholder engagement in research? ",issn:2042-6305; issn:2042-6313,Journal Of Comparative Effectiveness Research,no,Medicine,Health Policy;;,“Historical case studies”;Middle Section;;,30,cites for information;;,neutral;;,yes;;
10.1007/978-3-319-41899-5_8,2016,"Special Considerations 
",isbn:9783319418988; isbn:9783319418995,Writing Case Reports,no,Medicine,Medicine (miscellaneous),“Case Series”;Middle Section;;,29,discusses;;,negative;;,yes;;
10.1002/9781118683484.ch28,2015,Toxicology in the 21st Century,isbn:9781118683484; isbn:9781119940418,Mammalian Toxicology,no,Agricultural and Biological Sciences,Animal Science and Zoology,“Toxicology in the 20th Century”;Middle Section;;,28,disputes;;,neutral;;,no;;
10.1097/00008480-200108000-00016,2001,"Neonatal jaundice, animal-induced injuries, and immunizations",issn:1040-8703,Current Opinion In Pediatrics,no,Medicine;;,"Pediatrics, Perinatology and Child Health;;",middle section;“Immunizations”;;,28,credits;;,neutral;;,no;;
10.1111/nup.12187,2017,Ivan Illich’s Medical Nemesis and the ‘age of the show’: On the Expropriation of Death,issn:1466-7681,Nursing Philosophy,no,"Medicine;;
Nursing;;","Medicine (miscellaneous);;
Issues, Ethics and Legal Aspects;
Research and Theory;;",“THE EXPROPRIATION OF HEALTH: THE DYING BOXER OR ROCKY ON CHEMO”;Middle section;;,27,cites as evidence;;,neutral;;,no;;
10.1586/14787210.2015.1003808,2015,"Spotlight on measles in Italy: why outbreaks of a vaccine-preventable infection 
continue in the 21st century",issn:1478-7210; issn:1744-8336,Expert Review Of Anti-Infective Therapy,no,"Immunology and Microbiology;;
Medicine;;","Microbiology;
Virology;;
Infectious Diseases;
Microbiology (medical);;",“A safe vaccine against measles”;Middle Section;;,27,"Cites for information;;
",negative;;,no;;
10.1109/asonam.2014.6921609,2014,Data-mining twitter and the autism spectrum disorder: A Pilot study ,,,no,,,Results; discussion;;,27,cites as evidence;;,neutral;;,no;;
10.1371/journal.pone.0022737,2011,Parents' Experiences Discussing Pediatric Vaccination with Healthcare Providers: A Survey of Canadian Naturopathic Patients,issn:1932-6203,Plos One,no,"Agricultural and Biological Sciences;;
Biochemistry, Genetics and Molecular Biology;;
Medicine;;","Agricultural and Biological Sciences (miscellaneous);;
Biochemistry, Genetics and Molecular Biology (miscellaneous);;
Medicine (miscellaneous);;",discussion;;,27,disputes;;,negative;;,yes;;
10.1177/2054270415577762,2015,The UK immunisation schedule: changes to vaccine policy and practice in 2013/14,issn:2054-2704; issn:2054-2704,Jrsm Open,no,Medicine,Medicine (miscellaneous);;,“Catch-up campaigns”;Middle Section;;,27,discusses;;,negative;;,no;;
10.1586/14760584.5.5.641,2006,"Postlicensure epidemiology of childhood vaccination: the Danish experience

",issn:1476-0584; issn:1744-8395,Expert Review Of Vaccines,no,"Biochemistry, Genetics and Molecular Biology;;
Immunology and Microbiology;;
Pharmacology, Toxicology and Pharmaceutics;;","Molecular Medicine;;
Immunology;;
Drug Discovery;
Pharmacology;;",middle section;“Measles–mumps–rubella vaccination & autism ”;;,27,describes;;,neutral;;,no;;
10.4161/hv.25085,2013,The rise (and fall?) of parental vaccine hesitancy,issn:2164-5515; issn:2164-554X,Human Vaccines & Immunotherapeutics,no,"Immunology and Microbiology;;
Medicine;;
Pharmacology, Toxicology and Pharmaceutics;;","Immunology;;
Immunology and Allergy;
Medicine (miscellaneous);;
Pharmacology;;",“Public Health Impact of Vaccine Hesitancy”;Middle Section;;,27,discusses;;,negative;;,no;;
10.1002/pst.2,2002,Changing times in pharmaceutical statistics: 1980–2000z,issn:1539-1604; issn:1539-1612,Pharmaceutical Statistics,no,"Mathematics;;
Medicine;;
Pharmacology, Toxicology and Pharmaceutics;;","Statistics and Probability;;
Pharmacology (medical);;
Pharmacology;;",middle section;“STATISTICAL SHORTCOMINGS”;;,26,cites as evidence;;,negative;;,no;;
10.1080/21645515.2016.1264549,2016,Negative perceptions of hepatitis B vaccination among attendees of an urban free testing center for sexually transmitted infections in France,issn:2164-5515; issn:2164-554X,Human Vaccines & Immunotherapeutics,no,"Immunology and Microbiology;;
Medicine;;
Pharmacology, Toxicology and Pharmaceutics;;","Immunology;;
Immunology and Allergy;
Medicine (miscellaneous);;
Pharmacology;;",discussion;;,25,critiques;;,negative;;,no;;
10.1586/erv.09.40,2009,"Global safety of vaccines: strengthening systems for monitoring, management and the role of GACVS

",issn:1476-0584; issn:1744-8395,Expert Review Of Vaccines,no,"Biochemistry, Genetics and Molecular Biology;;
Immunology and Microbiology;;
Pharmacology, Toxicology and Pharmaceutics;;","Molecular Medicine;;
Immunology;;
Drug Discovery;
Pharmacology;;","middle section;“Examples of vaccine safety issues, real or perceived ”;;",25,critiques;;,negative;;,no;;
10.1111/j.1467-8519.2005.00425.x,2005,THE DETERMINATION OF THE BEST INTERESTS IN RELATION TO CHILDHOOD IMMUNISATION*,issn:0269-9702; issn:1467-8519,Bioethics,no,"Arts and Humanities;;
Medicine;;
Social Sciences;;","Philosophy;;
Health Policy;;
Health (social science);;",Middle section; “WHAT ARE ‘BEST INTERESTS’? ”;;,25,cites for information;;,neutral;;,no;;
10.4161/hv.24828,2013,"Story and science
How providers and parents can utilize storytelling to combat anti-vaccine misinformation
",issn:2164-5515; issn:2164-554X,Human Vaccines & Immunotherapeutics,no,"Immunology and Microbiology;;
Medicine;;
Pharmacology, Toxicology and Pharmaceutics;;","Immunology;;
Immunology and Allergy;
Medicine (miscellaneous);;
Pharmacology;;",“Controlling the Conversation: Anti-Vaccine Messaging and Social Media”;Middle Section;;,24,cites for information;;,neutral;;,no;;
10.1080/10236198.2015.1107549,2015,Dynamic behaviour of a discrete-time SIR model with information dependent vaccine uptake,issn:1023-6198; issn:1563-5120,Journal Of Difference Equations And Applications,no,Mathematics,"Algebra and Number Theory;
Analysis;
Applied Mathematics;;","Introduction;;
",24,credits;;,neutral;;,yes;;
10.1097/mop.0b013e32835c2b70,2013,Autism spectrum disorders: a pediatric overview and update,issn:1040-8703,Current Opinion In Pediatrics,no,Medicine;;,"Pediatrics, Perinatology and Child Health;;",“CAUSE”;Middle section;;,24,qualifies;;,negative;;,yes;;
10.1093/qjmed/hcu113,2014,Measles-induced encephalitis ,issn:1460-2725; issn:1460-2393,Qjm,no,Medicine;;,Medicine (miscellaneous);;,“Measles-induced neurological syndromes”;Middle Section;;,23,credits;;,neutral;;,no;;
10.3934/publichealth.2017.2.127,2017,The Role of the WI-38 Cell Strain in Saving Lives and Reducing Morbidity,issn:2327-8994,Aims Public Health,no,,,discussion;;,23,discusses;;,negative;;,yes;;
10.1093/pubmed/fdl036,2006,A crisis of governance? ,issn:1741-3850; issn:1741-3842,Journal Of Public Health,no,Medicine;;,"Medicine (miscellaneous);
Public Health, Environmental and Occupational Health;;",middle section;“Implications for public health ”;;,23,cites as evidence;;,negative;;,no;;
10.1590/s0034-8910.2015049005149,2015,Decision-making on childhood vaccination by highly educated parents ,issn:0034-8910,Revista De Saúde Pública,no,Medicine;;,"Medicine (miscellaneous);
Public Health, Environmental and Occupational Health;;","Introduction;;
discussion",23,"credits;;
Cites for information;;","neutral;;
neutral;;",no;;
10.7599/hmr.2016.36.1.27,2016,Psychosocial Treatments for Children with Autism Spectrum Disorder,issn:1738-429X; issn:2234-4446,Hanyang Medical Reviews,no,,,Introduction,22,cites for information;;,neutral;;,no;;
10.1097/anc.0b013e318285f918,2013,Bordetella Pertussis Infection in Infants: A Reemerging Disease,issn:1536-0903,Advances In Neonatal Care,no,Medicine,"Medicine (miscellaneous);
Pediatrics, Perinatology and Child Health;;",“THE REEMERGENCE OF PERTUSSIS”;Middle Section;;,22,credits;;,negative;;,no;;
10.1080/07388551.2017.1356804,2017,Regulatory science requirements of labeling of genetically modified food ,issn:0738-8551; issn:1549-7801,Critical Reviews In Biotechnology,no,"Biochemistry, Genetics and Molecular Biology;;
Immunology and Microbiology;;
Medicine;;","Biotechnology;;
Applied Microbiology and Biotechnology;;
Medicine (miscellaneous);;",“II: Best Available Public Information”;Middle section;,21,cites as evidence;;,negative;;,yes;;
10.1109/dsaa.2016.65,2016,Analysing the History of Autism Spectrum Disorder Using Topic Models ,,,no,,,"Results;;
Results;;",21,"discusses;;
disputes;;
","negative;;
neutral;;",yes;;
10.1590/1413-81232015202.10172014,2015,"The mediatized risk society, the anti-vaccination movement and the risk of autism",issn:1413-8123,Ciência & Saúde Coletiva,no,Medicine,"Health Policy;
Medicine (miscellaneous);
Public Health, Environmental and Occupational Health;;",“Vaccination and autism in the media”;Middle Section;;,20,disputes;;,neutral;;,no;;
10.1002/9781119959946.ch26,2012,Pharmacoepidemiologic Studies of Vaccine Safety,isbn:9781119959946; isbn:9780470654750,Pharmacoepidemiology,no,"Medicine;;
Nursing;;
Pharmacology, Toxicology and Pharmaceutics;;","Pharmacology (medical);;
Pharmacology (nursing);;
Pharmacology;;",“Clinical problems to be addressed using pharmacoepidemiologic research”;Middle Section;;,20,cites as evidence;;,negative;;,yes;;
10.1186/s41073-016-0008-5,2016,"Propagation of errors in citation networks: a study involving the entire citation network of a widely cited paper published in, and later retracted from, the journal Nature",issn:2058-8615,Research Integrity And Peer Review,no,,,Background;;,20,critiques;;,negative;;,yes;;
10.1002/9780470061589.fsa1025,2011,"Medicine: Vaccination, Medicolegal Aspects ",,Wiley Encyclopedia Of Forensic Science,no,,,Method;;,20,discusses;;,neutral;;,no;;
10.1177/088307380401900602,2004,"Neurologic Complications of Immunization 
",issn:0883-0738; issn:1708-8283,Journal Of Child Neurology,no,Medicine,"Neurology (clinical);
Pediatrics, Perinatology and Child Health;;",middle section;“Measles-Mumps-Rubella”;;,19,discusses;;,neutral;;,no;;
10.1002/9781118543504.ch15,2013,Public health surveillance for vaccine adverse events,isbn:9781118543504; isbn:9780470654675,Infectious Disease Surveillance,no,Medicine,Public Health,“Historical and public health context of vaccine safety”;Middle Section;;,19,cites for information;;,neutral;;,no;;
10.1177/039463201302600201,2013,Vaccines and Autoimmunity,issn:0394-6320,International Journal Of Immunopathology And Pharmacology,no,"Immunology and Microbiology;;
Medicine;;
Pharmacology, Toxicology and Pharmaceutics;;","Immunology;;
Immunology and Allergy;;
Pharmacology;;","“First instructive history: thefraudulent paper on the relationship between measles, mumps and rubella (MMR) vaccine and autism”;Middle Section;;",19,qualifies;;,neutral;;,no;;
10.1080/13590840020013257,2000,A Clinical Study of Secretin in Autism and Pervasive Developmental Delay,issn:1359-0847; issn:1364-6907,Journal Of Nutritional & Environmental Medicine,No,"Medicine;;
Nursing;;
Agricultural and Biological Sciences;;
","Medicine (miscellaneous);
Public Health, Environmental and Occupational Health;;
Nutrition and Dietetics;;
Food Science;;",discussion;;,19,disputes;;,neutral;;,no;;
